race_id,track_index,track_bias_text,track_comment
202001010101,-15,2025年以降のレースが対象となります。※障害レースを除く中央競馬のみが対象となります,昨年9月以来の開催で速い時計の出る馬場。
202001010101,-15,2025年以降のレースが対象となります。※障害レースを除く中央競馬のみが対象となります,昨年9月以来の開催で速い時計の出る馬場。
202001010102,-9,2025年以降のレースが対象となります。※障害レースを除く中央競馬のみが対象となります,含水率は低く、乾いた良馬場だが、速い時計の出るレベル。
202001010103,-15,2025年以降のレースが対象となります。※障害レースを除く中央競馬のみが対象となります,昨年9月以来の開催で速い時計の出る馬場。
202001010104,-9,2025年以降のレースが対象となります。※障害レースを除く中央競馬のみが対象となります,含水率は低く、乾いた良馬場だが、速い時計の出るレベル。
202001010105,-15,2025年以降のレースが対象となります。※障害レースを除く中央競馬のみが対象となります,昨年9月以来の開催で速い時計の出る馬場。
202001010106,-15,2025年以降のレースが対象となります。※障害レースを除く中央競馬のみが対象となります,昨年9月以来の開催で速い時計の出る馬場。
202001010107,-11,2025年以降のレースが対象となります。※障害レースを除く中央競馬のみが対象となります,含水率は低く、乾いた良馬場だが、速い時計の出るレベル。
202001010108,-9,2025年以降のレースが対象となります。※障害レースを除く中央競馬のみが対象となります,含水率は低く、乾いた良馬場だが、速い時計の出るレベル。
202001010109,-15,2025年以降のレースが対象となります。※障害レースを除く中央競馬のみが対象となります,昨年9月以来の開催で速い時計の出る馬場。
202001010110,-9,2025年以降のレースが対象となります。※障害レースを除く中央競馬のみが対象となります,含水率は低く、乾いた良馬場だが、速い時計の出るレベル。
202001010111,-15,2025年以降のレースが対象となります。※障害レースを除く中央競馬のみが対象となります,昨年9月以来の開催で速い時計の出る馬場。
202001010112,-15,2025年以降のレースが対象となります。※障害レースを除く中央競馬のみが対象となります,昨年9月以来の開催で速い時計の出る馬場。
202001010201,-15,2025年以降のレースが対象となります。※障害レースを除く中央競馬のみが対象となります,前日と同レベルで、速い時計の出る馬場。
202001010202,-8,2025年以降のレースが対象となります。※障害レースを除く中央競馬のみが対象となります,前日よりも馬場は乾き、若干、時計は掛かっていたが、それでも良馬場としては速い時計の出るレベル。
202001010203,-8,2025年以降のレースが対象となります。※障害レースを除く中央競馬のみが対象となります,前日よりも馬場は乾き、若干、時計は掛かっていたが、それでも良馬場としては速い時計の出るレベル。
202001010204,-15,2025年以降のレースが対象となります。※障害レースを除く中央競馬のみが対象となります,前日と同レベルで、速い時計の出る馬場。
202001010205,-15,2025年以降のレースが対象となります。※障害レースを除く中央競馬のみが対象となります,前日と同レベルで、速い時計の出る馬場。
202001010206,-8,2025年以降のレースが対象となります。※障害レースを除く中央競馬のみが対象となります,前日よりも馬場は乾き、若干、時計は掛かっていたが、それでも良馬場としては速い時計の出るレベル。
202001010207,-15,2025年以降のレースが対象となります。※障害レースを除く中央競馬のみが対象となります,前日と同レベルで、速い時計の出る馬場。
202001010208,-8,2025年以降のレースが対象となります。※障害レースを除く中央競馬のみが対象となります,前日よりも馬場は乾き、若干、時計は掛かっていたが、それでも良馬場としては速い時計の出るレベル。
202001010209,-15,2025年以降のレースが対象となります。※障害レースを除く中央競馬のみが対象となります,前日と同レベルで、速い時計の出る馬場。
202001010210,-15,2025年以降のレースが対象となります。※障害レースを除く中央競馬のみが対象となります,前日と同レベルで、速い時計の出る馬場。
202001010211,-8,2025年以降のレースが対象となります。※障害レースを除く中央競馬のみが対象となります,前日よりも馬場は乾き、若干、時計は掛かっていたが、それでも良馬場としては速い時計の出るレベル。
202001010212,-15,2025年以降のレースが対象となります。※障害レースを除く中央競馬のみが対象となります,前日と同レベルで、速い時計の出る馬場。
202001010301,-16,2025年以降のレースが対象となります。※障害レースを除く中央競馬のみが対象となります,前週と同レベルで、かなり速い時計の出る馬場。
202001010302,-6,2025年以降のレースが対象となります。※障害レースを除く中央競馬のみが対象となります,前週日曜と大きくは変わらず、やや速めの時計が出るレベル。
202001010303,-8,2025年以降のレースが対象となります。※障害レースを除く中央競馬のみが対象となります,前週日曜と大きくは変わらず、やや速めの時計が出るレベル。
202001010304,-6,2025年以降のレースが対象となります。※障害レースを除く中央競馬のみが対象となります,前週日曜と大きくは変わらず、やや速めの時計が出るレベル。
202001010305,-16,2025年以降のレースが対象となります。※障害レースを除く中央競馬のみが対象となります,前週と同レベルで、かなり速い時計の出る馬場。
202001010306,-16,2025年以降のレースが対象となります。※障害レースを除く中央競馬のみが対象となります,前週と同レベルで、かなり速い時計の出る馬場。
202001010307,-16,2025年以降のレースが対象となります。※障害レースを除く中央競馬のみが対象となります,前週と同レベルで、かなり速い時計の出る馬場。
202001010308,-8,2025年以降のレースが対象となります。※障害レースを除く中央競馬のみが対象となります,前週日曜と大きくは変わらず、やや速めの時計が出るレベル。
202001010309,-16,2025年以降のレースが対象となります。※障害レースを除く中央競馬のみが対象となります,前週と同レベルで、かなり速い時計の出る馬場。
202001010310,-16,2025年以降のレースが対象となります。※障害レースを除く中央競馬のみが対象となります,前週と同レベルで、かなり速い時計の出る馬場。
