race_id,category,horses
202501010101,能力,2ハルヒ3ショウ4ファニタイム指数へ
202501010101,上昇度,3ショウ6ナムラ7カンレ調子偏差値へ
202501010102,能力,2タイセ7コッコ9エンジタイム指数へ
202501010102,上昇度,1ユウグ8サツキ9エンジ調子偏差値へ
202501010103,能力,3ベイビ5オオタ12ディアタイム指数へ
202501010103,上昇度,1ニッシ11ファジ12ディア調子偏差値へ
202501010104,能力,8シンヒ9リリー14ワタシタイム指数へ
202501010104,上昇度,4エピフ5ブリス12レフレ調子偏差値へ
202501010106,能力,2ラウニ3コスモ5ドゥラタイム指数へ
202501010106,上昇度,1タイキ11デルマ12フィエ調子偏差値へ
202501010107,能力,1ラセー3カルミ7ジャグタイム指数へ
202501010107,上昇度,1ラセー6シャイ7ジャグ調子偏差値へ
202501010108,能力,1マイバ2ショウ5キングタイム指数へ
202501010108,上昇度,2ショウ4マイネ5キング調子偏差値へ
202501010109,能力,7ロスト11ショウ13ウォータイム指数へ
202501010109,上昇度,3オメガ9コスモ13ウォー調子偏差値へ
202501010110,能力,3デルマ7ハイラ8ヴァイタイム指数へ
202501010110,上昇度,6スピー10コルデ12ウイン調子偏差値へ
202501010111,能力,7トウカ8シュヴ10エマヌタイム指数へ
202501010111,上昇度,1ルーフ4マキア11ソノマ調子偏差値へ
202501010112,能力,6アセレ8バニシ10ワイドタイム指数へ
202501010112,上昇度,3コスモ4ウイン11ラオラ調子偏差値へ
202501010201,能力,2ミサビ4ユージ11スマータイム指数へ
202501010201,上昇度,8サンダ9オルミ11スマー調子偏差値へ
202501010202,能力,8ハーフ12ダーク13スピリタイム指数へ
202501010202,上昇度,4エクラ6ベルシ10ユキノ調子偏差値へ
202501010203,能力,3カフェ10タイキ11オンクタイム指数へ
202501010203,上昇度,11オンク12ルグラ14ミユン調子偏差値へ
202501010204,能力,2ディア4サイモ5ヨヒータイム指数へ
202501010204,上昇度,1ピティ3トルス5ヨヒー調子偏差値へ
202501010206,能力,1ジャス4ペレグ6エコロタイム指数へ
202501010206,上昇度,1ジャス7セイゲ8アスク調子偏差値へ
202501010207,能力,2セージ8サンキ12カポレタイム指数へ
202501010207,上昇度,2セージ3ルージ9ガール調子偏差値へ
202501010208,能力,3ダーク7イリス8ドーギタイム指数へ
202501010208,上昇度,1スモー2コンド3ダーク調子偏差値へ
202501010209,能力,2エフォ3ルクス9ヴァイタイム指数へ
202501010209,上昇度,2エフォ5ルナル6セイウ調子偏差値へ
202501010210,能力,2ラタフ5タンゴ7グラウタイム指数へ
202501010210,上昇度,1アスク2ラタフ5タンゴ調子偏差値へ
202501010211,能力,2マイネ6フルー10ミステタイム指数へ
202501010211,上昇度,1アドマ2マイネ6フルー調子偏差値へ
202501010212,能力,3マイネ5ビーナ6ヨウシタイム指数へ
202501010212,上昇度,1ステラ5ビーナ6ヨウシ調子偏差値へ
202501010301,能力,4ジャス5ヴィラ8チェンタイム指数へ
202501010301,上昇度,1ソルプ3アイム4ジャス調子偏差値へ
202501010302,能力,7オンサ10ステラ12アンノタイム指数へ
202501010302,上昇度,8カービ9デルタ10ステラ調子偏差値へ
202501010303,能力,2ラルフ3マイネ11トリプタイム指数へ
202501010303,上昇度,2ラルフ5ジーテ10マンボ調子偏差値へ
202501010304,能力,3ストレ14ロパシ16バトラタイム指数へ
202501010304,上昇度,5ヴァン11トリフ15シカレ調子偏差値へ
202501010306,能力,2ミニョ3サウン6ミルフタイム指数へ
202501010306,上昇度,1アース2ミニョ3サウン調子偏差値へ
202501010307,能力,4スピン6ハニー10シンゼタイム指数へ
202501010307,上昇度,2コンフ5モアリ10シンゼ調子偏差値へ
202501010308,能力,1グレイ6シーリ8リアラタイム指数へ
202501010308,上昇度,4スノー5スパー7ニシノ調子偏差値へ
202501010309,能力,1テリオ3マジカ6パッシタイム指数へ
202501010309,上昇度,2クイン4テイク6パッシ調子偏差値へ
202501010310,能力,2サクソ8ピンク14ロードタイム指数へ
202501010310,上昇度,9ジェッ10シャイ13リラボ調子偏差値へ
202501010311,能力,5ソリダ12テーオ13エープタイム指数へ
202501010311,上昇度,8ナムラ14フェス16フェミ調子偏差値へ
202501010312,能力,5メイシ7カプラ10サツキタイム指数へ
202501010312,上昇度,3アンブ5メイシ14クォー調子偏差値へ
202501010401,能力,1ドナソ6ワイド9ヴィヒタイム指数へ
202501010401,上昇度,1ドナソ4スノー10プレザ調子偏差値へ
202501010402,能力,2ハッピ3カスバ8ハイゼタイム指数へ
202501010402,上昇度,3カスバ12アニラ13レディ調子偏差値へ
202501010403,能力,1ヒルノ4シャイ16パーフタイム指数へ
202501010403,上昇度,7オラリ8ミルキ12マルテ調子偏差値へ
202501010404,能力,8ザハン12ドバイ14エポカタイム指数へ
202501010404,上昇度,6ダイハ8ザハン14エポカ調子偏差値へ
202501010406,能力,1マンゲ5キュイ13ウインタイム指数へ
202501010406,上昇度,1マンゲ4シャン13ウイン調子偏差値へ
202501010407,能力,2ゴルデ4マクミ5リーゼタイム指数へ
202501010407,上昇度,1マーベ5リーゼ12アイオ調子偏差値へ
202501010408,能力,4イゾレ7ソニッ10フラッタイム指数へ
202501010408,上昇度,4イゾレ5メイシ8ルール調子偏差値へ
202501010409,能力,4モンシ8ボルセ10カンザタイム指数へ
202501010409,上昇度,1メイシ5クーデ6ニルア調子偏差値へ
202501010410,能力,4コーテ8ゴール9ヴァンタイム指数へ
202501010410,上昇度,7ラホー8ゴール10メイケ調子偏差値へ
202501010411,能力,10アルジ11ライラ13クリスタイム指数へ
202501010411,上昇度,2フェア9ビヨン14フィー調子偏差値へ
202501010412,能力,3ペリプ6アルマ7マイフタイム指数へ
202501010412,上昇度,6アルマ7マイフ8ボンド調子偏差値へ
202501010501,能力,3モズプ5マルモ12アニマタイム指数へ
202501010501,上昇度,5マルモ8サザン11ルーセ調子偏差値へ
202501010502,能力,2キタノ13コスモ14ハロータイム指数へ
202501010502,上昇度,3アルマ7ネトル13コスモ調子偏差値へ
202501010503,能力,1アセン12マゴイ16セガンタイム指数へ
202501010503,上昇度,7タイキ15ハーフ16セガン調子偏差値へ
202501010504,能力,1エマー4ドゥマ9ホウオタイム指数へ
202501010504,上昇度,4ドゥマ8ヒシカ9ホウオ調子偏差値へ
202501010506,能力,1メイシ3ドゥラ4ビジュタイム指数へ
202501010506,上昇度,9ブルー10アリス15エオア調子偏差値へ
202501010507,能力,3ビーマ6エコロ9サードタイム指数へ
202501010507,上昇度,6エコロ8アイフ11スパー調子偏差値へ
202501010508,能力,1エンプ4ナリタ5リュミタイム指数へ
202501010508,上昇度,1エンプ4ナリタ11カンカ調子偏差値へ
202501010509,能力,3キング4マイネ8ウインタイム指数へ
202501010509,上昇度,1チャイ6ワオン7ロスト調子偏差値へ
202501010510,能力,3リッチ9サクラ11スピータイム指数へ
202501010510,上昇度,1ルーチ3リッチ9サクラ調子偏差値へ
202501010511,能力,2ミッキ3ドゥラ5マテンタイム指数へ
202501010511,上昇度,7テーオ8ペイシ11ブライ調子偏差値へ
202501010512,能力,2サトノ9エフォ10レッドタイム指数へ
202501010512,上昇度,3アッシ4マリブ10レッド調子偏差値へ
202501010601,能力,2ワンモ6ロード13ニャンタイム指数へ
202501010601,上昇度,1ヴンダ2ワンモ9リフレ調子偏差値へ
202501010602,能力,1タイセ7ダーカ11タッカタイム指数へ
202501010602,上昇度,2ジーク5メイシ9エイシ調子偏差値へ
202501010603,能力,3ストレ5スイー13アルデタイム指数へ
202501010603,上昇度,6ルーメ10サイモ13アルデ調子偏差値へ
202501010604,能力,1メイシ12ジョー13マーウタイム指数へ
202501010604,上昇度,3レッド5ワンダ8ゴール調子偏差値へ
202501010606,能力,3クラシ7キング14ヤマニタイム指数へ
202501010606,上昇度,1ベレー5ブリリ6デンジ調子偏差値へ
202501010607,能力,5ムチャ6スプリ14サンポタイム指数へ
202501010607,上昇度,5ムチャ8エファ15ストレ調子偏差値へ
202501010608,能力,3マシュ7タイヨ9レッドタイム指数へ
202501010608,上昇度,2デルマ6ドーギ9レッド調子偏差値へ
202501010609,能力,1バルナ4トゥル8マイバタイム指数へ
202501010609,上昇度,3リアラ5アオイ9コーラ調子偏差値へ
202501010610,能力,2アルゲ3アニト4ヨウシタイム指数へ
202501010610,上昇度,10アンド12テラス13レッド調子偏差値へ
202501010611,能力,9ゾンニ11フィオ12ジョータイム指数へ
202501010611,上昇度,2ダノン3スリー12ジョー調子偏差値へ
202501010612,能力,5オコタ10タイセ12パフタイム指数へ
