race_id,track_index,track_comment
202501010101,-24,Aコース使用1日目。前回開催終了後、大きな痛みが生じていたコース内側を中心に芝張替を実施。全体として良好な状態。
202501010102,-12,好天の影響で含水率が低く、乾いており力が必要な馬場状態。
202501010103,-12,好天の影響で含水率が低く、乾いており力が必要な馬場状態。
202501010104,-24,Aコース使用1日目。前回開催終了後、大きな痛みが生じていたコース内側を中心に芝張替を実施。全体として良好な状態。
202501010105,-12,好天の影響で含水率が低く、乾いており力が必要な馬場状態。
202501010106,-24,Aコース使用1日目。前回開催終了後、大きな痛みが生じていたコース内側を中心に芝張替を実施。全体として良好な状態。
202501010107,-24,Aコース使用1日目。前回開催終了後、大きな痛みが生じていたコース内側を中心に芝張替を実施。全体として良好な状態。
202501010108,-24,Aコース使用1日目。前回開催終了後、大きな痛みが生じていたコース内側を中心に芝張替を実施。全体として良好な状態。
202501010109,-12,好天の影響で含水率が低く、乾いており力が必要な馬場状態。
202501010110,-20,Aコース使用1日目。前回開催終了後、大きな痛みが生じていたコース内側を中心に芝張替を実施。全体として良好な状態。
202501010111,-24,Aコース使用1日目。前回開催終了後、大きな痛みが生じていたコース内側を中心に芝張替を実施。全体として良好な状態。
202501010112,-12,好天の影響で含水率が低く、乾いており力が必要な馬場状態。
202501010201,-20,朝の降雨で適度に水分を含んで時計も出やすい馬場状態。
202501010202,-20,Aコース使用2日目。雨が降った影響で重から稍重に推移も時計は標準やや速め。
202501010203,-20,朝の降雨で適度に水分を含んで時計も出やすい馬場状態。
202501010204,-16,Aコース使用2日目。雨が降った影響で重から稍重に推移も時計は標準やや速め。
202501010205,-16,Aコース使用2日目。雨が降った影響で重から稍重に推移も時計は標準やや速め。
202501010206,-17,朝の降雨で適度に水分を含んで時計も出やすい馬場状態。
202501010207,-17,朝の降雨で適度に水分を含んで時計も出やすい馬場状態。
202501010208,-18,Aコース使用2日目。雨が降った影響で重から稍重に推移も時計は標準やや速め。
202501010209,-18,Aコース使用2日目。雨が降った影響で重から稍重に推移も時計は標準やや速め。
202501010210,-16,朝の降雨で適度に水分を含んで時計も出やすい馬場状態。
202501010211,-12,Aコース使用2日目。雨が降った影響で重から稍重に推移も時計は標準やや速め。
202501010212,-18,Aコース使用2日目。雨が降った影響で重から稍重に推移も時計は標準やや速め。
202501010301,-27,Aコース3日目。内の傷み少なく良好。逃げ差しとも決まりやすい馬場傾向。
202501010302,-9,適度な湿りで時計は出やすく、先行勢にやや有利な馬場コンディション。
202501010303,-9,適度な湿りで時計は出やすく、先行勢にやや有利な馬場コンディション。
202501010304,-27,Aコース3日目。内の傷み少なく良好。逃げ差しとも決まりやすい馬場傾向。
202501010305,-27,Aコース3日目。内の傷み少なく良好。逃げ差しとも決まりやすい馬場傾向。
202501010306,-9,適度な湿りで時計は出やすく、先行勢にやや有利な馬場コンディション。
202501010307,-27,Aコース3日目。内の傷み少なく良好。逃げ差しとも決まりやすい馬場傾向。
202501010308,-9,適度な湿りで時計は出やすく、先行勢にやや有利な馬場コンディション。
202501010309,-26,Aコース3日目。内の傷み少なく良好。逃げ差しとも決まりやすい馬場傾向。
202501010310,-26,Aコース3日目。内の傷み少なく良好。逃げ差しとも決まりやすい馬場傾向。
202501010311,-26,Aコース3日目。内の傷み少なく良好。逃げ差しとも決まりやすい馬場傾向。
202501010312,-9,適度な湿りで時計は出やすく、先行勢にやや有利な馬場コンディション。
202501010401,-5,乾き傾向で時計は標準。力を求められるタフな馬場状態。
202501010402,-5,乾き傾向で時計は標準。力を求められるタフな馬場状態。
202501010403,-25,Aコース4日目。やや水を含み、パワー型に向く馬場傾向。
202501010404,-5,乾き傾向で時計は標準。力を求められるタフな馬場状態。
202501010405,-24,Aコース4日目。やや水を含み、パワー型に向く馬場傾向。
202501010406,-24,Aコース4日目。やや水を含み、パワー型に向く馬場傾向。
202501010407,-5,乾き傾向で時計は標準。力を求められるタフな馬場状態。
202501010408,-23,Aコース4日目。やや水を含み、パワー型に向く馬場傾向。
202501010409,-5,乾き傾向で時計は標準。力を求められるタフな馬場状態。
202501010410,-23,Aコース4日目。やや水を含み、パワー型に向く馬場傾向。
202501010411,-22,Aコース4日目。やや水を含み、パワー型に向く馬場傾向。
202501010412,-21,Aコース4日目。やや水を含み、パワー型に向く馬場傾向。
202501010501,-18,Aコース5日目。水分を含んで時計が掛かる状態。12レースは稍重に回復。
202501010502,-20,水分量を多く含んでおり、先行馬に有利な馬場状態。
202501010503,-18,Aコース5日目。水分を含んで時計が掛かる状態。12レースは稍重に回復。
202501010504,-20,水分量を多く含んでおり、先行馬に有利な馬場状態。
202501010505,-18,Aコース5日目。水分を含んで時計が掛かる状態。12レースは稍重に回復。
202501010506,-18,Aコース5日目。水分を含んで時計が掛かる状態。12レースは稍重に回復。
202501010507,-12,水分量を多く含んでおり、先行馬に有利な馬場状態。
202501010508,-12,水分量を多く含んでおり、先行馬に有利な馬場状態。
202501010509,-20,Aコース5日目。水分を含んで時計が掛かる状態。12レースは稍重に回復。
202501010510,-20,Aコース5日目。水分を含んで時計が掛かる状態。12レースは稍重に回復。
202501010511,-6,水分量を多く含んでおり、先行馬に有利な馬場状態。
202501010512,-20,Aコース5日目。水分を含んで時計が掛かる状態。12レースは稍重に回復。
202501010601,-8,脚抜きがよく、先行馬に有利。12レースは良馬場に回復。
202501010602,-8,脚抜きがよく、先行馬に有利。12レースは良馬場に回復。
202501010603,-18,Aコース6日目。馬場は良まで回復したが、水分量は高く時計が掛かる状態。
202501010604,-8,脚抜きがよく、先行馬に有利。12レースは良馬場に回復。
202501010605,-18,Aコース6日目。馬場は良まで回復したが、水分量は高く時計が掛かる状態。
202501010606,-18,Aコース6日目。馬場は良まで回復したが、水分量は高く時計が掛かる状態。
202501010607,-18,Aコース6日目。馬場は良まで回復したが、水分量は高く時計が掛かる状態。
202501010608,-8,脚抜きがよく、先行馬に有利。12レースは良馬場に回復。
202501010609,-18,Aコース6日目。馬場は良まで回復したが、水分量は高く時計が掛かる状態。
202501010610,-18,Aコース6日目。馬場は良まで回復したが、水分量は高く時計が掛かる状態。
202501010611,-14,Aコース6日目。馬場は良まで回復したが、水分量は高く時計が掛かる状態。
202501010612,-4,脚抜きがよく、先行馬に有利。12レースは良馬場に回復。
202501010701,-20,Aコース使用7日目。向正面から4コーナーの内柵沿いにかけて傷みがある。
202501010702,-8,水分量が少なく乾燥しており、時計がかかる状態。
202501010703,-8,水分量が少なく乾燥しており、時計がかかる状態。
202501010704,-20,Aコース使用7日目。向正面から4コーナーの内柵沿いにかけて傷みがある。
202501010705,-18,Aコース使用7日目。向正面から4コーナーの内柵沿いにかけて傷みがある。
202501010706,-8,水分量が少なく乾燥しており、時計がかかる状態。
202501010707,-16,Aコース使用7日目。向正面から4コーナーの内柵沿いにかけて傷みがある。
202501010708,-8,水分量が少なく乾燥しており、時計がかかる状態。
202501010709,-18,Aコース使用7日目。向正面から4コーナーの内柵沿いにかけて傷みがある。
202501010710,-18,Aコース使用7日目。向正面から4コーナーの内柵沿いにかけて傷みがある。
202501010711,-8,水分量が少なく乾燥しており、時計がかかる状態。
202501010712,-18,Aコース使用7日目。向正面から4コーナーの内柵沿いにかけて傷みがある。
202501010801,-18,Aコース使用8日目。雨の影響で昼以降稍重に。
202501010802,-7,午前中からの雨で、午後からのレースは以降稍重に。
202501010803,-18,Aコース使用8日目。雨の影響で昼以降稍重に。
202501010804,-7,午前中からの雨で、午後からのレースは以降稍重に。
202501010805,-8,Aコース使用8日目。雨の影響で昼以降稍重に。
202501010806,-14,午前中からの雨で、午後からのレースは以降稍重に。
202501010807,-5,Aコース使用8日目。雨の影響で昼以降稍重に。
202501010808,-14,午前中からの雨で、午後からのレースは以降稍重に。
202501010809,-5,Aコース使用8日目。雨の影響で昼以降稍重に。
202501010810,-10,午前中からの雨で、午後からのレースは以降稍重に。
202501010811,-2,Aコース使用8日目。雨の影響で昼以降稍重に。
202501010812,-2,Aコース使用8日目。雨の影響で昼以降稍重に。
202501020101,-14,Bコース使用1日目。外差しも利きそうな状態。9Rから良馬場に回復。
202501020102,-20,雨の影響で湿っていて、時計勝負になる。午後からは稍重に回復。
202501020103,-14,Bコース使用1日目。外差しも利きそうな状態。9Rから良馬場に回復。
202501020104,-20,雨の影響で湿っていて、時計勝負になる。午後からは稍重に回復。
202501020105,-14,Bコース使用1日目。外差しも利きそうな状態。9Rから良馬場に回復。
202501020106,-14,Bコース使用1日目。外差しも利きそうな状態。9Rから良馬場に回復。
202501020107,-14,Bコース使用1日目。外差しも利きそうな状態。9Rから良馬場に回復。
202501020108,-6,雨の影響で湿っていて、時計勝負になる。午後からは稍重に回復。
202501020109,-18,Bコース使用1日目。外差しも利きそうな状態。9Rから良馬場に回復。
202501020110,-18,Bコース使用1日目。外差しも利きそうな状態。9Rから良馬場に回復。
202501020111,-22,Bコース使用1日目。外差しも利きそうな状態。9Rから良馬場に回復。
202501020112,-10,雨の影響で湿っていて、時計勝負になる。午後からは稍重に回復。
202501020201,-8,脚抜きが良く、先行有利な馬場状態。
202501020202,-22,Bコース使用2日目。水分を含んでおり、時計は水準から遅めで推移しそう。
202501020203,-8,脚抜きが良く、先行有利な馬場状態。
202501020204,-16,Bコース使用2日目。水分を含んでおり、時計は水準から遅めで推移しそう。
202501020205,-22,Bコース使用2日目。水分を含んでおり、時計は水準から遅めで推移しそう。
202501020206,-22,Bコース使用2日目。水分を含んでおり、時計は水準から遅めで推移しそう。
202501020207,-8,脚抜きが良く、先行有利な馬場状態。
202501020208,-8,脚抜きが良く、先行有利な馬場状態。
202501020209,-20,Bコース使用2日目。水分を含んでおり、時計は水準から遅めで推移しそう。
202501020210,-8,脚抜きが良く、先行有利な馬場状態。
202501020211,-20,Bコース使用2日目。水分を含んでおり、時計は水準から遅めで推移しそう。
202501020212,-20,Bコース使用2日目。水分を含んでおり、時計は水準から遅めで推移しそう。
202501020301,-10,Bコース使用3日目。週中からの雨で含水率は高め。
202501020302,-10,Bコース使用3日目。週中からの雨で含水率は高め。
202501020303,-18,雨の影響で水分を含んでおり、早い時計が出る状態。
202501020304,-10,Bコース使用3日目。週中からの雨で含水率は高め。
202501020305,-18,雨の影響で水分を含んでおり、早い時計が出る状態。
202501020306,-10,Bコース使用3日目。週中からの雨で含水率は高め。
202501020307,-24,雨の影響で水分を含んでおり、早い時計が出る状態。
202501020308,-18,雨の影響で水分を含んでおり、早い時計が出る状態。
202501020309,-8,Bコース使用3日目。週中からの雨で含水率は高め。
202501020310,-18,雨の影響で水分を含んでおり、早い時計が出る状態。
202501020311,-8,Bコース使用3日目。週中からの雨で含水率は高め。
202501020312,-8,Bコース使用3日目。週中からの雨で含水率は高め。
202501020401,-12,Bコース使用4日目。土曜日から引き続き馬場状態は稍重発表。
202501020402,-14,雨の影響が残っており、先行有利な馬場状態。
202501020403,-18,雨の影響が残っており、先行有利な馬場状態。
202501020404,-12,Bコース使用4日目。土曜日から引き続き馬場状態は稍重発表。
202501020405,-12,Bコース使用4日目。土曜日から引き続き馬場状態は稍重発表。
202501020406,-14,雨の影響が残っており、先行有利な馬場状態。
202501020407,-14,Bコース使用4日目。土曜日から引き続き馬場状態は稍重発表。
202501020408,-14,雨の影響が残っており、先行有利な馬場状態。
202501020409,-10,Bコース使用4日目。土曜日から引き続き馬場状態は稍重発表。
202501020410,-14,Bコース使用4日目。土曜日から引き続き馬場状態は稍重発表。
202501020411,-14,Bコース使用4日目。土曜日から引き続き馬場状態は稍重発表。
202501020412,-14,雨の影響が残っており、先行有利な馬場状態。
202501020501,-8,乾いており、力を要する馬場。時計は標準からやや遅め。
202501020502,-15,Cコース利用1日目。前週雨の中で施行したため、コースの全周の内柵沿いに傷みがある。
202501020503,-8,乾いており、力を要する馬場。時計は標準からやや遅め。
202501020504,-13,Cコース利用1日目。前週雨の中で施行したため、コースの全周の内柵沿いに傷みがある。
202501020505,-13,Cコース利用1日目。前週雨の中で施行したため、コースの全周の内柵沿いに傷みがある。
202501020506,-8,乾いており、力を要する馬場。時計は標準からやや遅め。
202501020507,-13,Cコース利用1日目。前週雨の中で施行したため、コースの全周の内柵沿いに傷みがある。
202501020508,-8,乾いており、力を要する馬場。時計は標準からやや遅め。
202501020509,-13,Cコース利用1日目。前週雨の中で施行したため、コースの全周の内柵沿いに傷みがある。
