date,race_id,course,race_num,race_name,condition,bet_type,trio_bets,trio_result,hit,payout,investment,profit
20260314,202606020501,中山,1,中山1R,C,trio,1-3-6; 1-6-7; 3-6-7; 3-6-8; 3-6-11; 6-7-8; 6-7-11,6-8-11,0,0,700,-700
20260314,202606020502,中山,2,中山2R,C,trio,1-5-7; 1-5-9; 1-5-12; 1-5-16; 5-7-12; 5-9-12; 5-12-16,5-12-14,0,0,700,-700
20260314,202606020503,中山,3,中山3R,D,trio,4-9-13; 4-11-13; 4-13-15; 4-13-16; 9-11-13; 9-13-15; 9-13-16,4-9-13,1,570,700,-130
20260314,202606020504,中山,4,中山4R,C,trio,3-4-8; 3-8-11; 4-8-11; 4-8-13; 4-8-15; 8-11-13; 8-11-15,7-8-11,0,0,700,-700
20260314,202606020505,中山,5,中山5R,C,trio,2-4-11; 2-9-11; 4-5-11; 4-8-11; 4-9-11; 5-9-11; 8-9-11,4-5-8,0,0,700,-700
20260314,202606020506,中山,6,中山6R,C,trio,1-4-12; 1-12-13; 4-9-12; 4-11-12; 4-12-13; 9-12-13; 11-12-13,3-12-15,0,0,700,-700
20260314,202606020507,中山,7,中山7R,A,trio,1-2-7; 1-4-7; 1-6-7; 1-7-9; 2-4-7; 4-6-7; 4-7-9,1-2-7,1,1780,700,1080
20260314,202606020508,中山,8,中山8R,D,trio,1-7-15; 1-10-15; 1-11-15; 1-13-15; 7-13-15; 10-13-15; 11-13-15,1-12-15,0,0,700,-700
20260314,202606020509,中山,9,中山9R,A,trio,1-3-9; 1-9-11; 3-8-9; 3-9-10; 3-9-11; 8-9-11; 9-10-11,6-7-9,0,0,700,-700
20260314,202606020510,中山,10,中山10R,C,trio,2-7-10; 2-7-13; 5-7-10; 5-7-13; 6-7-10; 6-7-13; 7-10-13,6-7-16,0,0,700,-700
20260314,202606020511,中山,11,中山11R,C,trio,2-4-7; 2-4-9; 2-4-10; 2-4-13; 2-7-10; 2-9-10; 2-10-13,2-4-16,0,0,700,-700
20260314,202606020512,中山,12,中山12R,D,trio,6-10-14; 6-11-14; 6-12-14; 6-14-15; 10-11-14; 10-12-14; 10-14-15,6-12-15,0,0,700,-700
20260314,202607010101,中京,1,中京1R,A,trio,2-4-5; 2-5-6; 2-5-7; 2-5-8; 4-5-6; 5-6-7; 5-6-8,3-4-5,0,0,700,-700
20260314,202607010102,中京,2,中京2R,D,trio,1-4-9; 1-4-10; 4-9-10; 4-9-12; 4-9-16; 4-10-12; 4-10-16,4-9-12,1,7380,700,6680
20260314,202607010103,中京,3,中京3R,A,trio,1-5-9; 1-5-12; 5-9-10; 5-9-11; 5-9-12; 5-10-12; 5-11-12,1-4-5,0,0,700,-700
20260314,202607010104,中京,4,中京4R,C,trio,5-8-11; 5-8-12; 5-8-14; 5-8-16; 8-11-12; 8-11-14; 8-11-16,5-11-14,0,0,700,-700
20260314,202607010105,中京,5,中京5R,C,trio,2-4-6; 2-5-6; 4-5-6; 4-6-8; 4-6-14; 5-6-8; 5-6-14,5-12-14,0,0,700,-700
20260314,202607010106,中京,6,中京6R,C,trio,4-11-15; 4-12-15; 6-11-15; 6-12-15; 9-11-15; 9-12-15; 11-12-15,3-10-11,0,0,700,-700
20260314,202607010107,中京,7,中京7R,C,trio,1-5-6; 1-6-7; 2-5-6; 2-6-7; 5-6-7; 5-6-16; 6-7-16,1-9-13,0,0,700,-700
20260314,202607010108,中京,8,中京8R,D,trio,2-12-13; 2-12-14; 9-12-13; 9-12-14; 12-13-14; 12-13-16; 12-14-16,2-12-13,1,3550,700,2850
20260314,202607010109,中京,9,中京9R,A,trio,1-5-9; 1-8-9; 4-5-9; 4-8-9; 5-7-9; 5-8-9; 7-8-9,1-2-8,0,0,700,-700
20260314,202607010110,中京,10,中京10R,A,trio,1-4-6; 1-4-7; 2-4-6; 2-4-7; 4-5-6; 4-5-7; 4-6-7,1-6-7,0,0,700,-700
20260314,202607010111,中京,11,中京11R,A,trio,2-7-9; 2-7-14; 6-7-9; 6-7-14; 7-9-13; 7-9-14; 7-13-14,7-9-13,1,1360,700,660
20260314,202607010112,中京,12,中京12R,D,trio,1-5-17; 1-16-17; 5-12-17; 5-16-17; 5-17-18; 12-16-17; 16-17-18,2-5-16,0,0,700,-700
20260314,202609010701,阪神,1,阪神1R,A,trio,1-2-4; 1-3-4; 1-4-8; 1-4-12; 2-4-8; 3-4-8; 4-8-12,4-5-12,0,0,700,-700
20260314,202609010702,阪神,2,阪神2R,D,trio,2-6-7; 2-6-8; 2-6-13; 2-6-16; 2-7-13; 2-8-13; 2-13-16,3-8-13,0,0,700,-700
20260314,202609010703,阪神,3,阪神3R,A,trio,3-5-8; 3-7-8; 3-8-9; 3-8-10; 5-8-9; 7-8-9; 8-9-10,1-3-7,0,0,700,-700
20260314,202609010704,阪神,4,阪神4R,D,trio,3-5-7; 3-7-16; 5-7-9; 5-7-11; 5-7-16; 7-9-16; 7-11-16,3-7-13,0,0,700,-700
20260314,202609010705,阪神,5,阪神5R,C,trio,1-3-4; 1-4-10; 1-4-14; 1-4-17; 3-4-17; 4-10-17; 4-14-17,4-10-17,1,2820,700,2120
20260314,202609010706,阪神,6,阪神6R,A,trio,6-8-10; 6-9-10; 6-10-12; 6-10-13; 8-9-10; 9-10-12; 9-10-13,1-6-8,0,0,700,-700
20260314,202609010707,阪神,7,阪神7R,D,trio,2-6-11; 2-8-11; 2-11-14; 2-11-16; 6-11-16; 8-11-16; 11-14-16,2-7-8,0,0,700,-700
20260314,202609010708,阪神,8,阪神8R,A,trio,2-3-9; 2-3-10; 2-4-9; 2-4-10; 2-6-9; 2-6-10; 2-9-10,2-3-9,1,830,700,130
20260314,202609010709,阪神,9,阪神9R,D,trio,1-5-6; 1-5-7; 1-5-12; 1-5-14; 5-6-12; 5-7-12; 5-12-14,5-6-7,0,0,700,-700
20260314,202609010710,阪神,10,阪神10R,A,trio,1-4-8; 1-7-8; 3-4-8; 3-7-8; 4-7-8; 4-8-9; 7-8-9,1-4-8,1,2490,700,1790
20260314,202609010711,阪神,11,阪神11R,D,trio,1-4-11; 1-4-12; 1-6-11; 1-6-12; 1-8-11; 1-8-12; 1-11-12,1-4-11,1,1360,700,660
20260314,202609010712,阪神,12,阪神12R,A,trio,1-5-7; 1-6-7; 2-5-7; 2-6-7; 3-5-7; 3-6-7; 5-6-7,3-5-7,1,270,700,-430
20260315,202607010201,中京,1,レース,D,trio,3-5-14; 3-6-14; 3-9-14; 3-14-16; 5-6-14; 6-9-14; 6-14-16,3-14-16,1,1550,700,850
20260315,202607010202,中京,2,レース,A,trio,1-5-6; 1-5-7; 1-5-11; 1-5-13; 1-6-13; 1-7-13; 1-11-13,1-11-13,1,1250,700,550
20260315,202607010203,中京,3,レース,C,trio,1-4-12; 1-7-12; 1-11-12; 1-12-14; 4-12-14; 7-12-14; 11-12-14,1-11-12,1,2600,700,1900
20260315,202607010204,中京,4,レース,D,trio,2-5-16; 2-9-16; 2-15-16; 2-16-17; 5-16-17; 9-16-17; 15-16-17,2-5-17,0,0,700,-700
20260315,202607010205,中京,5,レース,C,trio,1-7-8; 1-7-10; 1-7-14; 1-7-15; 7-8-10; 7-10-14; 7-10-15,1-7-15,1,1080,700,380
20260315,202607010206,中京,6,レース,D,trio,2-5-6; 2-6-14; 5-6-8; 5-6-14; 5-6-15; 6-8-14; 6-14-15,2-5-6,1,1810,700,1110
20260315,202607010207,中京,7,レース,C,trio,1-6-9; 1-6-15; 1-8-9; 1-8-15; 1-9-12; 1-9-15; 1-12-15,1-6-15,1,2590,700,1890
20260315,202607010208,中京,8,レース,A,trio,1-4-10; 1-7-10; 2-4-10; 2-7-10; 4-7-10; 4-9-10; 7-9-10,7-9-10,1,1780,700,1080
20260315,202607010209,中京,9,レース,D,trio,5-8-15; 5-13-15; 8-9-15; 8-13-15; 8-15-16; 9-13-15; 13-15-16,7-15-16,0,0,700,-700
20260315,202607010210,中京,10,レース,D,trio,1-7-10; 1-9-10; 4-7-10; 4-9-10; 7-9-10; 7-10-11; 9-10-11,1-4-6,0,0,700,-700
20260315,202607010211,中京,11,レース,A,trio,1-2-12; 1-3-12; 1-6-12; 1-12-13; 2-12-13; 3-12-13; 6-12-13,3-9-12,0,0,700,-700
20260315,202607010212,中京,12,レース,D,trio,3-6-13; 3-9-13; 3-13-16; 3-13-17; 6-9-13; 6-13-16; 6-13-17,1-2-13,0,0,700,-700
20260315,202606020601,中山,1,レース,D,trio,4-7-10; 4-10-14; 4-10-15; 4-10-16; 7-10-14; 7-10-15; 7-10-16,4-7-10,1,480,700,-220
20260315,202606020602,中山,2,レース,C,trio,3-7-11; 3-8-11; 3-11-13; 3-11-16; 7-8-11; 7-11-13; 7-11-16,7-8-11,1,750,700,50
20260315,202606020603,中山,3,レース,D,trio,2-6-10; 2-10-16; 6-10-13; 6-10-15; 6-10-16; 10-13-16; 10-15-16,2-6-10,1,1170,700,470
20260315,202606020604,中山,4,レース,C,trio,2-6-8; 2-6-16; 4-6-8; 4-6-16; 6-8-13; 6-8-16; 6-13-16,2-4-13,0,0,700,-700
20260315,202606020605,中山,5,レース,C,trio,7-12-14; 7-12-18; 10-12-14; 10-12-18; 12-14-15; 12-14-18; 12-15-18,10-14-18,0,0,700,-700
20260315,202606020606,中山,6,レース,C,trio,2-4-12; 2-5-12; 2-8-12; 2-10-12; 4-5-12; 5-8-12; 5-10-12,4-5-7,0,0,700,-700
20260315,202606020607,中山,7,レース,D,trio,1-3-7; 1-4-7; 1-7-11; 1-7-14; 3-4-7; 4-7-11; 4-7-14,4-7-15,0,0,700,-700
20260315,202606020608,中山,8,レース,A,trio,1-3-8; 1-4-8; 1-7-8; 1-8-10; 3-7-8; 4-7-8; 7-8-10,1-7-8,1,230,700,-470
20260315,202606020609,中山,9,レース,A,trio,1-6-8; 1-6-10; 5-6-8; 5-6-10; 6-8-10; 6-8-11; 6-10-11,5-8-11,0,0,700,-700
20260315,202606020610,中山,10,レース,C,trio,5-6-11; 5-6-15; 6-11-13; 6-11-15; 6-11-16; 6-13-15; 6-15-16,5-6-16,0,0,700,-700
20260315,202606020611,中山,11,レース,C,trio,2-4-12; 2-10-12; 2-12-13; 2-12-14; 4-12-13; 10-12-13; 12-13-14,2-14-15,0,0,700,-700
20260315,202606020612,中山,12,レース,D,trio,2-3-9; 2-9-15; 3-5-9; 3-9-15; 3-9-16; 5-9-15; 9-15-16,5-11-16,0,0,700,-700
20260315,202609010801,阪神,1,レース,D,trio,2-6-11; 2-6-13; 2-11-12; 2-11-13; 2-11-14; 2-12-13; 2-13-14,2-7-11,0,0,700,-700
20260315,202609010802,阪神,2,レース,A,trio,1-3-4; 1-4-13; 3-4-11; 3-4-13; 3-4-14; 4-11-13; 4-13-14,3-4-13,1,1180,700,480
20260315,202609010803,阪神,3,レース,D,trio,1-8-14; 1-9-14; 5-8-14; 5-9-14; 8-9-14; 8-12-14; 9-12-14,8-9-14,1,820,700,120
20260315,202609010805,阪神,5,レース,C,trio,3-10-12; 3-11-12; 3-12-14; 3-12-16; 10-12-14; 11-12-14; 12-14-16,2-4-10,0,0,700,-700
