race_id,horse_id,video_gait_coverage,video_gait_aspect_mean,video_gait_aspect_std,video_gait_aspect_range,video_gait_area_mean,video_gait_area_std,video_gait_w_mean,video_gait_h_mean,video_gait_conf_mean,video_gait_conf_std,video_gait_conf_min,video_gait_motion_dcx_mean,video_gait_motion_dcy_mean,video_gait_motion_speed_mean,video_gait_motion_speed_std,video_gait_motion_speed_max,video_gait_area_change_mean,video_gait_aspect_change_mean,video_body_coat_brightness_mean,video_body_coat_brightness_std,video_body_coat_saturation_mean,video_body_coat_saturation_std,video_body_coat_contrast_mean,video_body_coat_contrast_std,video_body_body_aspect_mean,video_body_body_aspect_std,video_body_body_compactness_mean,video_body_body_compactness_std,video_body_color_r_mean,video_body_color_g_mean,video_body_color_b_mean,video_body_condition_score_mean,video_body_condition_score_std
202603010112,2022106229,1.0,1.288,0.167,0.515,146077.8,14847.6,431.8,338.7,0.727,0.119,0.399,-1.58,0.0,15.01,16.49,44.6,9131.6,0.086,0.4511,0.0368,0.0816,0.0171,0.2114,0.0225,1.2871,0.1678,0.282,0.0287,0.4933,0.4389,0.4212,0.7165,0.0438
202606030501,2023109067,1.0,1.656,0.064,0.315,158626.6,7041.0,512.4,309.6,0.87,0.039,0.806,-1.52,1.58,13.51,14.4,42.9,2825.0,0.064,0.4975,0.0132,0.1173,0.0042,0.1992,0.0054,1.6561,0.0652,0.306,0.014,0.5514,0.5016,0.4396,0.7531,0.0121
202606030601,2023102171,1.0,1.535,0.138,0.477,133593.2,13693.5,452.2,295.3,0.743,0.114,0.486,-0.21,0.98,26.88,14.4,52.7,13298.1,0.151,0.3914,0.0103,0.0709,0.0023,0.1898,0.0077,1.5356,0.1368,0.2577,0.0263,0.4052,0.3964,0.3727,0.6493,0.0101
202606030601,2023102383,0.923,1.047,0.225,0.688,88548.9,27516.1,303.7,288.4,0.547,0.146,0.323,1.23,0.91,55.04,137.92,494.0,9626.7,0.112,0.3659,0.0289,0.0676,0.0089,0.1595,0.0172,1.047,0.2256,0.1708,0.053,0.3634,0.362,0.3724,0.5995,0.0398
202606030601,2023106658,1.0,1.125,0.381,1.166,124138.1,24325.2,372.4,338.5,0.53,0.194,0.205,-2.09,-0.22,11.38,19.55,76.3,6595.0,0.055,0.3657,0.0259,0.0675,0.006,0.1811,0.0251,1.1256,0.3805,0.2393,0.0471,0.3861,0.3667,0.3443,0.6209,0.0443
202606030602,2023100362,0.192,1.309,0.269,0.554,126219.6,35756.3,403.8,309.5,0.537,0.079,0.404,-6.75,9.08,71.53,13.88,89.8,51142.2,0.404,0.3948,0.0208,0.0567,0.0066,0.1945,0.0139,1.3082,0.2708,0.2435,0.0691,0.3888,0.4032,0.3922,0.6492,0.0243
202606030602,2023106691,1.0,1.539,0.117,0.296,145486.3,7447.2,472.5,308.1,0.899,0.053,0.698,1.74,0.2,7.32,12.22,40.6,1410.3,0.048,0.3862,0.0065,0.0597,0.0028,0.166,0.0074,1.5397,0.1166,0.2803,0.0142,0.387,0.3914,0.3802,0.6162,0.011
202606030602,2023107260,0.885,2.013,0.291,1.266,195237.0,32007.5,626.6,311.0,0.555,0.123,0.275,4.83,0.75,24.61,40.65,148.8,12057.1,0.091,0.4208,0.0108,0.0724,0.0079,0.1958,0.0055,2.012,0.2909,0.3765,0.0617,0.4462,0.4304,0.386,0.6766,0.0112
202606030603,2023100533,1.0,1.476,0.08,0.332,164283.5,14354.3,491.5,333.8,0.662,0.147,0.562,-4.4,0.11,14.66,24.45,88.2,4483.8,0.039,0.4067,0.0115,0.0867,0.0017,0.2056,0.0052,1.476,0.0793,0.3168,0.0276,0.4436,0.4099,0.3665,0.6836,0.0131
202606030603,2023102317,0.269,1.446,0.306,0.907,169914.0,25433.5,495.5,344.4,0.718,0.159,0.462,0.95,-2.02,50.5,39.86,108.1,20916.0,0.265,0.3651,0.0099,0.0474,0.0038,0.2295,0.0051,1.4468,0.3076,0.3279,0.0488,0.3679,0.3695,0.3579,0.6587,0.0134
202606030603,2023107524,0.962,1.275,0.191,0.608,143104.3,7200.0,425.7,337.6,0.801,0.109,0.454,0.27,-0.12,12.73,17.79,52.0,6550.5,0.054,0.3216,0.0071,0.0475,0.0019,0.1737,0.0052,1.273,0.1924,0.2766,0.0138,0.3256,0.3239,0.3152,0.5725,0.01
