race_id,umaban,horse_name,finish_order,time_index,master_index,start_index,chase_index,agari_index
202501010106,11,デルマケセラセラ,1,88,88,97,97,90
202501010106,9,ウインキララ,2,87,87,94,90,93
202501010106,5,ドゥラエテルノ,3,87,87,91,88,96
202501010106,2,ラウニウ,4,85,85,91,86,95
202501010106,4,ラースアルアイン,5,84,84,92,86,96
202501010106,10,テンフレッシュ,6,82,82,98,100,82
202501010106,6,ゴールドサニーデイ,7,81,74,98,96,79
202501010106,1,タイキクロニクル,8,77,71,95,90,81
202501010106,3,コスモマガラニカ,9,77,77,89,89,83
202501010106,12,フィエールガール,10,76,70,87,83,87
202501010106,14,オースミストロング,11,77,77,86,82,91
202501010106,7,セブンスプリングス,12,75,69,94,87,82
202501010106,8,レディオンステージ,13,67,67,103,106,63
202501010107,1,ラセーヌシュメール,1,89,89,86,85,104
202501010107,5,ハイファイスピード,2,86,86,101,98,88
202501010107,7,ジャグアール,3,85,85,88,87,98
202501010107,6,シャインズオンユー,4,83,83,83,81,102
202501010107,8,イリュージョン,5,81,81,82,84,97
202501010107,2,メラヴィリオーザ,6,79,79,83,81,98
202501010107,3,カルミネイション,7,76,69,84,79,90
202501010107,4,テンペストヒロイン,8,53,46,95,90,56
202501010108,2,ショウナンサムデイ,1,92,92,93,84,108
202501010108,5,キングスコール,2,92,92,94,85,107
202501010108,4,マイネルフーガ,3,90,90,96,86,105
202501010108,1,マイバラード,4,87,87,91,81,105
202501010108,3,デルマジュテーム,5,84,84,92,83,101
202501010109,11,ショウナンヤッホー,1,86,86,93,93,95
202501010109,4,ブレイジングスター,2,85,79,100,95,87
202501010109,10,リュミナーズ,3,82,82,92,92,92
202501010109,12,レッドベルダンス,4,79,79,97,95,87
202501010109,13,ウォーターリーダー,5,80,80,89,89,92
202501010109,9,コスモシェルベット,6,79,79,99,95,85
202501010109,6,クールシェルタ,7,78,78,90,89,90
202501010109,5,ユウェンタース,8,78,78,94,93,88
202501010109,8,サトノルクソン,9,76,69,100,93,79
202501010109,7,ロストボール,10,76,69,90,86,88
202501010109,1,スズノソレイユ,11,75,68,101,97,76
202501010109,2,コムルヴァン,12,61,61,99,95,70
202501010109,3,オメガドライヴ,13,34,32,88,85,52
202501010110,6,スピードリッチ,1,96,96,94,90,104
202501010110,12,ウインマクシマム,2,94,94,102,97,100
202501010110,3,デルマグレムリン,3,93,93,87,87,101
202501010110,9,ライフセービング,4,92,92,87,84,102
202501010110,8,ヴァイザーバルコ,5,91,91,80,82,102
202501010110,2,バレンタインガール,6,91,91,89,87,100
202501010110,7,ハイラント,7,89,89,74,74,101
202501010110,11,ミヤビブレイブ,8,87,87,85,92,93
202501010110,13,キャリーハピネス,9,85,85,91,89,94
202501010110,1,チョメチョメ,10,79,79,92,89,87
202501010110,10,コルデアニル,11,74,74,101,101,79
202501010110,5,グレン,12,74,74,96,94,81
202501010110,4,ラスハンメル,13,56,56,103,100,61
202501010111,3,カルプスペルシュ,1,108,108,101,97,111
202501010111,1,ルーフ,2,105,96,96,89,107
202501010111,2,ポエットリー,3,100,96,93,87,109
202501010111,6,ゴールドサーベル,4,100,93,77,75,119
202501010111,10,エマヌエーレ,5,98,93,90,86,108
202501010111,8,シュヴェルトライテ,6,98,93,86,84,109
202501010111,5,ナムラローズマリー,7,95,92,103,97,96
202501010111,11,ソノママソノママ,8,93,89,89,83,106
202501010111,12,モズナナスター,9,92,92,93,91,101
202501010111,7,トウカイファクター,10,90,84,85,82,102
202501010111,4,マキアージュ,11,89,78,92,85,93
202501010111,9,ロードトレイル,12,89,82,88,83,99
202501010112,10,ワイドブリザード,1,90,90,100,84,106
202501010112,4,ウインアルドーレ,2,85,85,97,84,102
202501010112,14,マイノワール,3,86,86,86,74,112
202501010112,2,ケイアイメキラ,4,80,80,92,78,102
202501010112,6,アセレラシオン,5,80,80,97,82,99
202501010112,1,アイウィル,6,80,80,94,82,97
202501010112,7,トゥルブレンシア,7,79,79,93,78,99
202501010112,8,バニシングポイント,8,77,77,86,72,102
202501010112,9,ヒルノデプラーツ,9,76,76,85,73,103
202501010112,11,ラオラシオン,10,76,76,88,75,98
202501010112,3,コスモオピニオン,11,73,73,89,75,96
202501010112,13,ムジェロ,12,68,68,87,74,92
202501010112,5,バロンドール,13,58,58,89,73,86
202501010112,12,フラッシング,14,54,54,89,75,80
202501010201,3,メイショウハマギク,1,82,76,101,102,77
202501010201,4,ユージュアーナ,2,81,81,101,105,79
202501010201,2,ミサビスケッツ,3,81,81,100,104,81
202501010201,11,スマートイザナミ,4,79,79,93,90,88
202501010201,13,ハローエンジェル,5,74,74,100,104,74
202501010201,1,フェアーメロディ,6,72,65,89,79,91
202501010201,5,モアサナイト,7,69,69,100,99,71
202501010201,14,アラマンダ,8,62,62,95,98,65
202501010201,8,サンダーフレア,9,61,61,98,98,64
202501010201,12,セレーネアステール,10,61,55,89,81,77
202501010201,6,スタードメイソン,11,56,50,99,95,62
202501010201,9,オルミラベル,12,52,52,94,93,60
202501010201,10,タヤスソーレ,13,31,24,95,89,39
202501010201,7,ウインフルゴラ,14,17,17,96,84,42
202501010202,11,キャナルクルーズ,1,86,86,96,94,92
202501010202,10,ユキノエミリオ,2,86,86,97,97,89
202501010202,8,ハーフェン,3,86,86,96,96,90
202501010202,12,ダークメモリー,4,79,76,98,97,79
202501010202,13,スピリットサージ,5,77,77,93,90,87
202501010202,5,ロードステイタス,6,73,73,84,80,93
202501010202,6,ベルシャイニー,7,74,67,86,82,85
202501010202,1,コルネイユドール,8,71,65,86,82,83
202501010202,7,ウィンビュー,9,70,70,87,84,86
202501010202,9,ウインボニータ,10,70,70,79,76,93
202501010202,2,スイッチビスケット,11,64,57,81,77,80
202501010202,3,シーオン,12,57,50,89,85,66
202501010202,4,エクラドネージュ,13,57,57,92,88,69
202501010202,14,ピースフルゴールド,14,53,46,77,75,71
202501010203,3,カフェブーケット,1,80,80,96,85,94
202501010203,12,ルグランシャリオ,2,80,74,96,85,89
202501010203,11,オンクラウドナイン,3,78,78,89,87,86
202501010203,7,サザンブラック,4,77,71,97,86,84
202501010203,9,ボールドハーテッド,5,74,68,88,77,89
202501010203,10,タイキフィアリーベ,6,70,70,93,86,83
202501010203,1,ニコ,7,69,62,90,80,83
202501010203,13,ジャスティンアロー,8,67,67,84,85,82
202501010203,2,セイスイミリオン,9,63,63,82,79,83
202501010203,4,ロングロングロング,10,63,63,85,83,84
202501010203,14,ミユンガー,11,57,57,81,83,74
202501010203,8,アルテボーイ,12,56,56,87,83,74
202501010203,5,ブラックレーション,13,53,50,98,90,61
202501010203,6,マークオブゾロ,14,46,40,94,81,65
202501010204,5,ヨヒーン,1,78,78,85,74,102
202501010204,7,メテオレーナ,2,72,72,92,80,94
202501010204,8,ハードロックスター,3,71,65,98,80,89
202501010204,4,サイモンイロハニー,4,72,66,76,65,98
202501010204,3,トルストイ,5,70,70,86,77,92
202501010204,1,ピティロディア,6,69,69,83,77,92
202501010204,2,ディアイライザ,7,65,65,82,72,91
202501010204,6,カリビアンブルー,8,63,61,82,73,87
202501010204,9,アルファシリウス,9,55,49,96,78,75
202501010205,6,サンセットゴールド,1,48,48,77,45,107
202501010205,5,マイネルシンベリン,2,48,48,80,48,106
202501010205,1,マリノリュミエール,3,44,38,72,40,103
202501010205,2,シンデレラガール,4,40,40,80,50,96
202501010205,3,ユイノカタリベ,5,34,28,75,44,91
202501010205,4,レイサンソク,5,34,34,74,44,95
202501010206,9,ストラテージュ,1,91,85,86,80,98
202501010206,6,エコロレオナ,2,91,85,90,82,95
202501010206,2,ピクラリーダ,3,81,75,97,89,78
202501010206,5,テイオームサシ,4,80,80,86,79,93
202501010206,4,ペレグリン,5,81,74,77,71,97
202501010206,7,セイゲン,6,80,80,78,73,102
202501010206,1,ジャスパーソレイユ,7,79,79,90,85,89
202501010206,3,カップッチョ,8,78,78,86,81,92
202501010206,8,アスクアメージモア,9,61,54,80,72,75
202501010207,8,サンキャメロン,1,95,93,95,99,94
202501010207,3,ルージュミラージュ,2,92,86,102,103,84
202501010207,13,スナークメモリー,3,89,82,97,100,83
202501010207,6,オーロヴェール,4,89,89,95,104,86
202501010207,12,カポレイラ,5,88,88,91,92,92
202501010207,11,シンボリノエル,6,86,86,86,92,90
202501010207,10,ドレミファニー,7,85,85,97,102,83
202501010207,9,ガールズデイアウト,8,82,82,98,102,79
202501010207,2,セージグリーン,9,78,72,97,101,72
202501010207,1,タマモジャスミン,10,74,74,97,102,73
202501010207,4,エルバステラ,11,73,73,102,105,68
202501010207,7,パーソナルアフェア,12,51,44,100,101,47
202501010207,5,コンティオ,13,-2,-2,100,104,-6
202501010208,2,コンドゥイア,1,96,90,94,99,94
202501010208,3,ダークブロンド,2,92,92,88,92,98
202501010208,4,ネーブルオレンジ,3,91,85,96,101,87
202501010208,8,ドーギッド,4,88,88,88,92,96
202501010208,1,スモーキーゴッド,5,87,87,92,94,92
202501010208,7,イリスレーン,6,84,78,94,99,82
202501010208,5,ブラックバラード,7,85,79,85,87,91
202501010208,6,サトノメルベイユ,8,54,54,92,94,58
202501010209,8,フォルテム,1,91,91,98,95,98
202501010209,2,エフォートレス,2,90,90,88,86,102
202501010209,5,ルナルーチェット,3,85,85,95,91,94
202501010209,7,メリディアンスター,4,84,84,91,89,94
202501010209,3,ルクスアドラー,5,81,74,86,83,94
202501010209,4,ソアラ,6,81,74,90,85,90
202501010209,6,セイウンビッグバン,7,79,79,94,90,88
202501010209,9,ヴァイタルピース,8,75,73,83,81,91
202501010210,2,ラタフォレスト,1,109,109,95,92,111
202501010210,3,ドバイブルース,2,104,104,94,90,107
202501010210,4,セクシーブーケ,3,101,101,92,89,105
202501010210,5,タンゴバイラリン,4,101,101,89,89,108
202501010210,8,マッシャーブルム,5,100,100,95,94,101
202501010210,7,グラウンドビート,6,95,95,81,86,103
202501010210,1,アスクビックスター,7,92,92,90,85,101
202501010210,6,トップオブジェラス,8,90,90,84,85,99
202501010211,3,スティンガーグラス,1,96,96,92,78,107
202501010211,6,フルール,2,94,94,93,80,105
202501010211,2,マイネルカンパーナ,3,93,93,95,79,104
202501010211,10,ミステリーウェイ,4,92,92,98,82,101
202501010211,5,シュバルツクーゲル,5,90,90,93,78,101
202501010211,9,マキシ,6,91,91,95,82,100
202501010211,7,パトリックハンサム,7,89,89,96,80,100
202501010211,4,ヴェルミセル,8,89,89,89,77,99
202501010211,8,エゾダイモン,9,87,87,90,76,101
202501010211,1,アドマイヤサジー,10,83,83,87,75,100
202501010212,2,エリーズダイヤ,1,94,94,92,94,96
202501010212,5,ビーナスローズ,2,92,92,93,97,91
202501010212,3,マイネルフォルツァ,3,89,89,84,84,101
202501010212,1,ステラバルセロナ,4,89,89,88,89,97
202501010212,6,ヨウシタンレイ,5,89,89,92,93,94
202501010212,4,ルージュイストリア,6,86,86,88,87,94
202501010212,7,オルフェスト,7,85,85,87,85,97
202501010212,8,ヒロノゴウカイ,8,80,80,86,83,94
202501010301,4,ジャストビート,1,62,62,92,75,94
202501010301,5,ヴィラジョヴィス,2,61,61,94,78,90
202501010301,3,アイムスティルミー,3,57,57,87,74,88
202501010301,8,チェンドル,4,55,49,95,75,81
202501010301,7,ブルームオブピース,5,53,53,94,77,84
202501010301,2,ラシッド,6,52,52,88,73,86
202501010301,6,シャインヴィーラ,7,52,50,88,72,86
202501010301,1,ソルプレーザ,8,49,43,84,66,84
202501010302,11,マカニ,1,85,79,96,94,82
202501010302,10,ステラノヴァ,2,84,84,95,90,89
202501010302,8,カービスベイ,3,82,82,95,91,87
202501010302,2,ブラックエンパイア,4,77,77,88,83,89
202501010302,3,フルグライト,5,65,65,78,71,87
202501010302,12,アンノドミニ,6,63,56,83,72,74
202501010302,5,ローレルゼロ,7,61,55,78,63,77
202501010302,7,オンサイト,8,60,60,74,62,86
202501010302,4,ハナヒラク,9,51,45,66,51,79
202501010302,1,インユアアイズ,10,44,44,61,45,84
202501010302,9,デルタニュートラル,11,41,34,83,65,51
202501010302,6,メイショウルーチェ,12,38,35,68,47,67
202501010303,2,ラルフテソーロ,1,75,75,100,86,97
202501010303,11,トリプレーテ,2,76,70,81,74,98
202501010303,6,ハルフロンティア,3,69,69,94,81,97
202501010303,8,ミスターボビー,4,67,67,97,83,91
202501010303,9,シャドーストライク,5,64,58,94,78,87
202501010303,5,ジーティーララバイ,6,63,63,96,82,88
202501010303,14,リバティフレイム,7,62,62,93,79,89
202501010303,3,マイネルアース,8,59,52,87,71,89
202501010303,13,サーフギャラクシー,9,52,52,84,73,83
202501010303,1,グラツィオーソ,10,52,52,88,77,84
202501010303,12,アックアヴィリーレ,11,52,46,90,75,80
202501010303,7,アーロッタレット,12,50,44,80,66,82
202501010303,4,ビザンティーノ,13,41,41,90,77,70
202501010303,10,マンボルンバ,14,24,24,99,85,47
202501010304,14,ロパシック,1,92,92,99,100,93
202501010304,3,ストレートブラック,2,90,90,96,97,95
202501010304,8,アロマフェリス,3,89,89,97,99,92
202501010304,10,フェアリーグレン,4,88,86,92,94,93
202501010304,1,グランセゾン,5,87,87,89,88,95
202501010304,7,エコログロス,6,86,86,93,94,94
202501010304,15,シカレ,7,84,78,96,94,87
202501010304,5,ヴァンガルダ,8,81,81,98,99,86
202501010304,13,マサノイロハ,9,78,78,91,90,86
202501010304,9,ホウオウアーネスト,10,77,77,95,95,83
202501010304,12,ゴートゥーミジョカ,11,75,69,92,90,81
